Name,Spectral Type,Age Category,plx_mas,plx_mas_err,F200W,F200W_err,F115W,F115W_err,F182M,F182M_err,F212N,F212N_err,F140M,F140M_err,F162M,F162M_err,F210M,F210M_err,F150W,F150W_err,F164N,F164N_err,F187N,F187N_err
1RXS J235133.3+312720 B,10.0,Field,23.125,0.022,14.298,0.003,15.528,0.003,14.440,0.005,14.072,0.008,15.156,0.005,14.499,0.004,14.158,0.004,14.891,0.003,14.417,0.009,14.445,0.034
2MASS J00054844-2157196,9.0,Field,39.38,0.15,12.471,0.001,13.465,0.001,12.600,0.001,12.258,0.003,13.189,0.002,12.560,0.002,12.330,0.001,12.928,0.001,12.477,0.005,12.693,0.007
2MASS J00070787-2458042,7.0,Field,32.58,0.14,12.163,0.002,13.394,0.001,12.268,0.003,12.017,0.004,12.900,0.003,12.395,0.002,12.069,0.002,12.701,0.002,12.323,0.004,12.309,0.014
2MASS J00100009-2031122,10.0,Field,35.66,0.29,13.407,0.001,14.408,0.002,13.567,0.001,13.142,0.004,14.149,0.002,13.532,0.002,13.236,0.001,13.888,0.001,13.463,0.005,13.666,0.005
2MASS J00132229-1143006,23.0,Young,40.0,3.0,16.268,0.011,16.618,0.003,16.660,0.021,15.528,0.015,17.744,0.028,15.832,0.007,15.779,0.009,16.598,0.009,15.913,0.017,17.024,0.114
2MASS J00135882-1816462,11.0,Field,17.787,0.022,15.502,0.008,17.095,0.007,15.754,0.014,15.116,0.014,16.744,0.014,15.731,0.008,15.237,0.006,16.262,0.007,15.670,0.019,15.762,0.065
2MASS J00145575-4844171,12.5,Field,50.78,0.24,13.031,0.002,14.354,0.002,13.237,0.003,12.676,0.005,14.060,0.004,13.137,0.002,12.808,0.002,13.640,0.002,13.045,0.005,13.345,0.018
2MASS J00150206+2959323,17.0,Field,28.572,0.022,14.887,0.005,16.535,0.005,15.148,0.009,14.483,0.008,16.173,0.010,15.092,0.005,14.624,0.004,15.658,0.004,15.010,0.010,15.174,0.041
2MASS J00165953-4056541,13.5,Field,28.8,1.0,13.875,0.002,15.696,0.003,14.141,0.003,13.483,0.006,15.248,0.005,14.154,0.003,13.616,0.003,14.744,0.003,14.038,0.009,14.254,0.018
2MASS J00192626+4614078,8.0,Young,25.74,0.13,11.779,0.001,12.811,0.001,11.903,0.002,11.596,0.003,12.488,0.002,11.912,0.001,11.653,0.001,12.248,0.001,11.829,0.004,11.940,0.007
2MASS J00193927-3724392,13.0,Young,25.0,1.4,14.170,0.006,15.855,0.007,14.405,0.009,13.802,0.010,15.381,0.008,14.408,0.007,13.937,0.006,14.942,0.005,14.314,0.015,14.520,0.037
2MASS J00282091+2249050,17.0,Field,42.9,1.6,14.109,0.004,15.950,0.005,14.380,0.006,13.709,0.011,15.469,0.006,14.380,0.005,13.841,0.005,14.962,0.004,14.283,0.011,14.500,0.049
2MASS J00285545-1927165,10.0,Field,25.74,0.28,13.127,0.002,14.468,0.002,13.319,0.003,12.808,0.006,14.130,0.004,13.274,0.002,12.924,0.003,13.747,0.002,13.190,0.007,13.410,0.016
2MASS J00320509+0219017,11.5,Field,41.3,0.3,13.244,0.002,14.594,0.002,13.420,0.002,12.948,0.004,14.167,0.003,13.409,0.002,13.057,0.002,13.837,0.002,13.356,0.004,13.546,0.012
2MASS J00332386-1521309,14.0,Young,43.5,0.8,14.052,0.002,15.682,0.003,14.266,0.004,13.742,0.004,15.127,0.005,14.406,0.002,13.853,0.002,14.821,0.002,14.336,0.006,14.302,0.020
2MASS J00345157+0523050,26.5,Field,118.8,2.7,16.146,0.006,15.762,0.002,16.729,0.013,15.316,0.008,17.667,0.015,15.290,0.004,15.525,0.004,16.031,0.004,16.040,0.020,17.111,0.093
